ID,Shade Number,Original Weight (kg),Program,RC,Dyes,Created At
69c7ddf34e3621aa9ba65b10,52,8.9,P3,No,Red bel: 30.0; Pink rbsf: 10.0,2026-03-28T13:56:03.235000
69c7de2c4e3621aa9ba65b11,53,9.5,P1,No,Golden yellow2gd: 50.0; Yellow 10gn: 5.0; Yellow c4g: 20.0; Orange rl: 10.0,2026-03-28T13:57:00.884000
69c7de5c4e3621aa9ba65b12,54,12.0,P1,No,Yellow c4g: 200.0,2026-03-28T13:57:48.935000
69c7dea14e3621aa9ba65b13,55,12.2,P1,No,Yellow brown: 32.2; Navy blue 3g: 3.2; Red2b: 2.75,2026-03-28T13:58:57.494000
69c7dee64e3621aa9ba65b14,56,12.2,P1,Yes,Scarlet rr: 235.0,2026-03-28T14:00:06.130000
69c7df304e3621aa9ba65b15,57,11.86,P1,No,Black emrd: 0.15; Golden yellow2gd: 140.0; Yellow 10gn: 15.0; Yellow c4g: 65.0,2026-03-28T14:01:20.609000
69c7e23327be9b07b34e2f57,58,9.6,P1,No,Navy blue 3g: 70.0; Black emrd: 30.0; Scarlet 3r: 5.0; Blue gsl: 1.5; Red2b: 1.5,2026-03-28T14:14:11.074000
69c7e29827be9b07b34e2f58,59,12.46,P3,Yes,Blue bg: 348.5; Yellow c4g: 29.04; Blue sr: 78.23,2026-03-28T14:15:52.629000
69c7e2fb27be9b07b34e2f59,60,12.7,P3,Yes,Blue bg: 404.4; Yellow c4g: 38.7; Blue sr: 71.6; Yellow 10gn: 28.54,2026-03-28T14:17:31.468000
69c92884ded0d3020e5fa398,61,9.86,P3,Yes,Orange rl: 160.0; Red2bn: 40.0; Navy blue: 5.0,2026-03-29T13:26:28.111000
69c92980ded0d3020e5fa399,62,9.4,P1,Yes,Orange rl: 150.0; Scarlet rr: 100.0,2026-03-29T13:30:40.684000
